t,i_sn,x_sn,U_sn,P_0,P_sn
0.0000051554,172,0.0860017726,0.6771197274,40000000.0000000000,39891579.1725292578
0.0000052054,172,0.0860018068,0.6836756918,40000000.0000000000,39890050.8382127732
0.0000052554,172,0.0860018413,0.6902314049,40000000.0000000000,39888521.7712150216
0.0000053054,172,0.0860018762,0.6967868668,40000000.0000000000,39886992.1248334348
0.0000053554,172,0.0860019113,0.7033420773,40000000.0000000000,39885462.0489663333
0.0000054054,172,0.0860019468,0.7098970364,40000000.0000000000,39883931.6901245490
0.0000054554,172,0.0860019826,0.7164517439,40000000.0000000000,39882401.1914422289
0.0000055054,172,0.0860020188,0.7230061999,40000000.0000000000,39880870.6926829442
0.0000055554,172,0.0860020553,0.7295604044,40000000.0000000000,39879340.3302574903
0.0000056054,172,0.0860020921,0.7361143573,40000000.0000000000,39877810.2372351214
0.0000056554,172,0.0860021292,0.7426680588,40000000.0000000000,39876280.5433574244
0.0000057054,172,0.0860021667,0.7492215089,40000000.0000000000,39874751.3750530183
0.0000057554,172,0.0860022045,0.7557747077,40000000.0000000000,39873222.8554511815
0.0000058054,172,0.0860022426,0.7623276553,40000000.0000000000,39871695.1043997332
0.0000058554,172,0.0860022810,0.7688803518,40000000.0000000000,39870168.2384802252
0.0000059054,172,0.0860023198,0.7754327974,40000000.0000000000,39868642.3710307926
0.0000059554,172,0.0860023589,0.7819849922,40000000.0000000000,39867117.6121539250
0.0000060054,172,0.0860023983,0.7885369365,40000000.0000000000,39865594.0687479302
0.0000060554,172,0.0860024381,0.7950886303,40000000.0000000000,39864071.8445159718
0.0000061054,172,0.0860024781,0.8016400740,40000000.0000000000,39862551.0399919078
0.0000061554,172,0.0860025186,0.8081912677,40000000.0000000000,39861031.7525614202
0.0000062054,172,0.0860025593,0.8147422118,40000000.0000000000,39859514.0764801800
0.0000062554,172,0.0860026004,0.8212929064,40000000.0000000000,39857998.1029016599
0.0000063054,172,0.0860026418,0.8278433519,40000000.0000000000,39856483.9198931530
0.0000063554,172,0.0860026835,0.8343935485,40000000.0000000000,39854971.6124683470
0.0000064054,172,0.0860027255,0.8409434966,40000000.0000000000,39853461.2626028284
0.0000064554,172,0.0860027679,0.8474931965,40000000.0000000000,39851952.9492625669
0.0000065054,172,0.0860028106,0.8540426485,40000000.0000000000,39850446.7484313101
0.0000065554,172,0.0860028536,0.8605918529,40000000.0000000000,39848942.7331349105
0.0000066054,172,0.0860028970,0.8671408102,40000000.0000000000,39847440.9734681100
0.0000066554,172,0.0860029407,0.8736895207,40000000.0000000000,39845941.5366200507
0.0000067054,172,0.0860029847,0.8802379848,40000000.0000000000,39844444.4869057089
0.0000067554,172,0.0860030290,0.8867862028,40000000.0000000000,39842949.8857924268
0.0000068054,172,0.0860030737,0.8933341752,40000000.0000000000,39841457.7919271737
0.0000068554,172,0.0860031187,0.8998819023,40000000.0000000000,39839968.2611677349
0.0000069054,172,0.0860031640,0.9064293847,40000000.0000000000,39838481.3466125727
0.0000069554,172,0.0860032096,0.9129766227,40000000.0000000000,39836997.0986313894
0.0000070054,172,0.0860032556,0.9195236168,40000000.0000000000,39835515.5648958981
0.0000070554,172,0.0860033019,0.9260703674,40000000.0000000000,39834036.7904095799
0.0000071054,172,0.0860033486,0.9326168750,40000000.0000000000,39832560.8175411448
0.0000071554,172,0.0860033955,0.9391631400,40000000.0000000000,39831087.6860568598
0.0000072054,172,0.0860034428,0.9457091629,40000000.0000000000,39829617.4331514537
0.0000072554,172,0.0860034904,0.9522549442,40000000.0000000000,39828150.0934847519
0.0000073054,172,0.0860035384,0.9588004843,40000000.0000000000,39826685.6992098466
0.0000073554,172,0.0860035866,0.9653457838,40000000.0000000000,39825224.2800105065
0.0000074054,172,0.0860036352,0.9718908431,40000000.0000000000,39823765.8631372601
0.0000074554,172,0.0860036841,0.9784356627,40000000.0000000000,39822310.4734365866
0.0000075054,172,0.0860037334,0.9849802431,40000000.0000000000,39820858.1333912089
0.0000075554,172,0.0860037830,0.9915245848,40000000.0000000000,39819408.8631500825
0.0000076054,172,0.0860038329,0.9980686884,40000000.0000000000,39817962.6805692241
0.0000076554,172,0.0860038831,1.0046125542,40000000.0000000000,39816519.6012441218
0.0000077054,172,0.0860039337,1.0111561830,40000000.0000000000,39815079.6385458782
0.0000077554,172,0.0860039845,1.0176995750,40000000.0000000000,39813642.8036611751
0.0000078054,172,0.0860040358,1.0242427310,40000000.0000000000,39812209.1056236550
0.0000078554,172,0.0860040873,1.0307856513,40000000.0000000000,39810778.5513544381
0.0000079054,172,0.0860041392,1.0373283365,40000000.0000000000,39809351.1456992924
0.0000079554,172,0.0860041914,1.0438707871,40000000.0000000000,39807926.8914642110
0.0000080054,172,0.0860042439,1.0504130037,40000000.0000000000,39806505.7894565836
0.0000080554,172,0.0860042967,1.0569549867,40000000.0000000000,39805087.8385158852
0.0000081054,172,0.0860043499,1.0634967366,40000000.0000000000,39803673.0355604440
0.0000081554,172,0.0860044034,1.0700382541,40000000.0000000000,39802261.3756185323
0.0000082054,172,0.0860044572,1.0765795395,40000000.0000000000,39800852.8518701047
0.0000082554,172,0.0860045114,1.0831205935,40000000.0000000000,39799447.4556834549
0.0000083054,172,0.0860045659,1.0896614165,40000000.0000000000,39798045.1766572297
0.0000083554,172,0.0860046207,1.0962020091,40000000.0000000000,39796646.0026537850
0.0000084054,172,0.0860046758,1.1027423717,40000000.0000000000,39795249.9198431000
0.0000084554,172,0.0860047313,1.1092825048,40000000.0000000000,39793856.9127363786
0.0000085054,172,0.0860047871,1.1158224091,40000000.0000000000,39792466.9642300457
0.0000085554,172,0.0860048432,1.1223620849,40000000.0000000000,39791080.0556412339
0.0000086054,172,0.0860048996,1.1289015327,40000000.0000000000,39789696.1667466089
0.0000086554,172,0.0860049564,1.1354407532,40000000.0000000000,39788315.2758248970
0.0000087054,172,0.0860050135,1.1419797466,40000000.0000000000,39786937.3596905544
0.0000087554,172,0.0860050709,1.1485185137,40000000.0000000000,39785562.3937379718
0.0000088054,172,0.0860051287,1.1550570548,40000000.0000000000,39784190.3519768938
0.0000088554,172,0.0860051868,1.1615953703,40000000.0000000000,39782821.2070713267
0.0000089054,172,0.0860052452,1.1681334609,40000000.0000000000,39781454.9303819314
0.0000089554,172,0.0860053039,1.1746713269,40000000.0000000000,39780091.4920012504
0.0000090054,172,0.0860053630,1.1812089689,40000000.0000000000,39778730.8607924730
0.0000090554,172,0.0860054223,1.1877463872,40000000.0000000000,39777373.0044316575
0.0000091054,172,0.0860054821,1.1942835824,40000000.0000000000,39776017.8894426450
0.0000091554,172,0.0860055421,1.2008205549,40000000.0000000000,39774665.4812373295
0.0000092054,172,0.0860056025,1.2073573051,40000000.0000000000,39773315.7441539913
0.0000092554,172,0.0860056632,1.2138938335,40000000.0000000000,39771968.6414936930
0.0000093054,172,0.0860057242,1.2204301405,40000000.0000000000,39770624.1355600953
0.0000093554,172,0.0860057855,1.2269662266,40000000.0000000000,39769282.1876973510
0.0000094054,172,0.0860058472,1.2335020921,40000000.0000000000,39767942.7583278194
0.0000094554,172,0.0860059092,1.2400377375,40000000.0000000000,39766605.8069878519
0.0000095054,172,0.0860059715,1.2465731631,40000000.0000000000,39765271.2923686504
0.0000095554,172,0.0860060342,1.2531083695,40000000.0000000000,39763939.1723499149
0.0000096054,172,0.0860060972,1.2596433569,40000000.0000000000,39762609.4040402398
0.0000096554,172,0.0860061605,1.2661781258,40000000.0000000000,39761281.9438085854
0.0000097054,172,0.0860062241,1.2727126765,40000000.0000000000,39759956.7473277748
0.0000097554,172,0.0860062881,1.2792470094,40000000.0000000000,39758633.7696054280
0.0000098054,172,0.0860063524,1.2857811249,40000000.0000000000,39757312.9650199041
0.0000098554,172,0.0860064170,1.2923150233,40000000.0000000000,39755994.2873613238
0.0000099054,172,0.0860064819,1.2988487050,40000000.0000000000,39754677.6898616627
0.0000099554,172,0.0860065472,1.3053821704,40000000.0000000000,39753363.1252298579
0.0000100054,172,0.0860066128,1.3119154197,40000000.0000000000,39752050.5456919968
0.0000100554,172,0.0860066787,1.3184484532,40000000.0000000000,39750739.9030204490
0.0000101054,172,0.0860067450,1.3249812714,40000000.0000000000,39749431.1485698968
0.0000101554,172,0.0860068115,1.3315138745,40000000.0000000000,39748124.2333129793
0.0000102054,172,0.0860068784,1.3380462628,40000000.0000000000,39746819.1078702360
0.0000102554,172,0.0860069457,1.3445784366,40000000.0000000000,39745515.7225469127
0.0000103054,172,0.0860070132,1.3511103963,40000000.0000000000,39744214.0273639411
0.0000103554,172,0.0860070811,1.3576421420,40000000.0000000000,39742913.9720904678
0.0000104054,172,0.0860071493,1.3641736740,40000000.0000000000,39741615.5062777251
0.0000104554,172,0.0860072179,1.3707049926,40000000.0000000000,39740318.5792872086
0.0000105054,172,0.0860072867,1.3772360981,40000000.0000000000,39739023.1403255314
0.0000105554,172,0.0860073559,1.3837669907,40000000.0000000000,39737729.1384736300
0.0000106054,172,0.0860074254,1.3902976706,40000000.0000000000,39736436.5227190703
0.0000106554,172,0.0860074953,1.3968281381,40000000.0000000000,39735145.2419843450
0.0000107054,172,0.0860075654,1.4033583934,40000000.0000000000,39733855.2451566905
0.0000107554,172,0.0860076359,1.4098884367,40000000.0000000000,39732566.4811190441
0.0000108054,172,0.0860077067,1.4164182682,40000000.0000000000,39731278.8987772167
0.0000108554,172,0.0860077779,1.4229478881,40000000.0000000000,39729992.4470899999
0.0000109054,172,0.0860078494,1.4294772965,40000000.0000000000,39728707.0750954375
0.0000109554,172,0.0860079212,1.4360064937,40000000.0000000000,39727422.7319383398
0.0000110054,172,0.0860079933,1.4425354799,40000000.0000000000,39726139.3669008836
0.0000110554,172,0.0860080658,1.4490642551,40000000.0000000000,39724856.9294239134
0.0000111054,172,0.0860081385,1.4555928195,40000000.0000000000,39723575.3691366538
0.0000111554,172,0.0860082116,1.4621211734,40000000.0000000000,39722294.6358823553
0.0000112054,172,0.0860082851,1.4686493167,40000000.0000000000,39721014.6797434911
0.0000112554,172,0.0860083588,1.4751772497,40000000.0000000000,39719735.4510647506
0.0000113054,172,0.0860084329,1.4817049725,40000000.0000000000,39718456.9004789740
0.0000113554,172,0.0860085073,1.4882324851,40000000.0000000000,39717178.9789291993
0.0000114054,172,0.0860085821,1.4947597878,40000000.0000000000,39715901.6376936361
0.0000114554,172,0.0860086571,1.5012868805,40000000.0000000000,39714624.8284084201
0.0000115054,172,0.0860087325,1.5078137633,40000000.0000000000,39713348.5030898899
0.0000115554,172,0.0860088082,1.5143404365,40000000.0000000000,39712072.6141545326
0.0000116054,172,0.0860088843,1.5208668999,40000000.0000000000,39710797.1144420505
0.0000116554,172,0.0860089606,1.5273931537,40000000.0000000000,39709521.9572360143
0.0000117054,172,0.0860090373,1.5339191979,40000000.0000000000,39708247.0962858722
0.0000117554,172,0.0860091144,1.5404450326,40000000.0000000000,39706972.4858214110
0.0000118054,172,0.0860091917,1.5469706579,40000000.0000000000,39705698.0805754066
0.0000118554,172,0.0860092694,1.5534960737,40000000.0000000000,39704423.8358040750
0.0000119054,172,0.0860093474,1.5600212801,40000000.0000000000,39703149.7073034570
0.0000119554,172,0.0860094257,1.5665462771,40000000.0000000000,39701875.6514252499
0.0000120054,172,0.0860095044,1.5730710647,40000000.0000000000,39700601.6250956953
0.0000120554,172,0.0860095834,1.5795956429,40000000.0000000000,39699327.5858339146
0.0000121054,172,0.0860096627,1.5861200117,40000000.0000000000,39698053.4917644039
0.0000121554,172,0.0860097423,1.5926441712,40000000.0000000000,39696779.3016343564
0.0000122054,172,0.0860098222,1.5991681213,40000000.0000000000,39695504.9748303443
0.0000122554,172,0.0860099025,1.6056918619,40000000.0000000000,39694230.4713893160
0.0000123054,172,0.0860099831,1.6122153930,40000000.0000000000,39692955.7520160377
0.0000123554,172,0.0860100641,1.6187387147,40000000.0000000000,39691680.7780947313
0.0000124054,172,0.0860101453,1.6252618269,40000000.0000000000,39690405.5117002055
0.0000124554,172,0.0860102269,1.6317847294,40000000.0000000000,39689129.9156137183
0.0000125054,172,0.0860103088,1.6383074223,40000000.0000000000,39687853.9533348083
0.0000125554,172,0.0860103911,1.6448299055,40000000.0000000000,39686577.5890873447
0.0000126054,172,0.0860104737,1.6513521790,40000000.0000000000,39685300.7878390253
0.0000126554,172,0.0860105566,1.6578742426,40000000.0000000000,39684023.5153011754
0.0000127054,172,0.0860106398,1.6643960963,40000000.0000000000,39682745.7379489690
0.0000127554,172,0.0860107233,1.6709177400,40000000.0000000000,39681467.4230218977
0.0000128054,172,0.0860108072,1.6774391737,40000000.0000000000,39680188.5385394469
0.0000128554,172,0.0860108914,1.6839603971,40000000.0000000000,39678909.0533058196
0.0000129054,172,0.0860109759,1.6904814103,40000000.0000000000,39677628.9369158521
0.0000129554,172,0.0860110608,1.6970022131,40000000.0000000000,39676348.1597673967
0.0000130054,172,0.0860111459,1.7035228054,40000000.0000000000,39675066.6930627376
0.0000130554,172,0.0860112314,1.7100431871,40000000.0000000000,39673784.5088183209
0.0000131054,172,0.0860113173,1.7165633581,40000000.0000000000,39672501.5798685253
0.0000131554,172,0.0860114034,1.7230833182,40000000.0000000000,39671217.8798709065
0.0000132054,172,0.0860114899,1.7296030674,40000000.0000000000,39669933.3833126128
0.0000132554,172,0.0860115767,1.7361226054,40000000.0000000000,39668648.0655144900
0.0000133054,172,0.0860116638,1.7426419323,40000000.0000000000,39667361.9026313126
0.0000133554,172,0.0860117513,1.7491610477,40000000.0000000000,39666074.8716585115
0.0000134054,172,0.0860118391,1.7556799517,40000000.0000000000,39664786.9504330605
0.0000134554,172,0.0860119272,1.7621986440,40000000.0000000000,39663498.1176375821
0.0000135054,172,0.0860120156,1.7687171244,40000000.0000000000,39662208.3528020084
0.0000135554,172,0.0860121044,1.7752353929,40000000.0000000000,39660917.6363015249
0.0000136054,172,0.0860121935,1.7817534493,40000000.0000000000,39659625.9493608177
0.0000136554,172,0.0860122829,1.7882712934,40000000.0000000000,39658333.2740527764
0.0000137054,172,0.0860123726,1.7947889251,40000000.0000000000,39657039.5933019370
0.0000137554,172,0.0860124627,1.8013063441,40000000.0000000000,39655744.8908787146
0.0000138054,172,0.0860125531,1.8078235504,40000000.0000000000,39654449.1514020041
0.0000138554,172,0.0860126438,1.8143405437,40000000.0000000000,39653152.3603360429
0.0000139054,172,0.0860127348,1.8208573239,40000000.0000000000,39651854.5039903522
0.0000139554,172,0.0860128262,1.8273738908,40000000.0000000000,39650555.5695174932
0.0000140054,172,0.0860129179,1.8338902442,40000000.0000000000,39649255.5449070334
0.0000140554,172,0.0860130099,1.8404063840,40000000.0000000000,39647954.4189876467
0.0000141054,172,0.0860131023,1.8469223100,40000000.0000000000,39646652.1814201549
0.0000141554,172,0.0860131949,1.8534380219,40000000.0000000000,39645348.8226937875
0.0000142054,172,0.0860132879,1.8599535196,40000000.0000000000,39644044.3341235965
0.0000142554,172,0.0860133813,1.8664688030,40000000.0000000000,39642738.7078441009
0.0000143054,172,0.0860134749,1.8729838717,40000000.0000000000,39641431.9368077442
0.0000143554,172,0.0860135689,1.8794987258,40000000.0000000000,39640124.0147743598
0.0000144054,172,0.0860136632,1.8860133648,40000000.0000000000,39638814.9363088533
0.0000144554,172,0.0860137578,1.8925277887,40000000.0000000000,39637504.6967733875
0.0000145054,172,0.0860138528,1.8990419973,40000000.0000000000,39636193.2923243865
0.0000145554,172,0.0860139480,1.9055559904,40000000.0000000000,39634880.7199005336
0.0000146054,172,0.0860140437,1.9120697678,40000000.0000000000,39633566.9772191271
0.0000146554,172,0.0860141396,1.9185833292,40000000.0000000000,39632252.0627685711
0.0000147054,172,0.0860142358,1.9250966746,40000000.0000000000,39630935.9758006558
0.0000147554,172,0.0860143324,1.9316098036,40000000.0000000000,39629618.7163189054
0.0000148054,172,0.0860144293,1.9381227162,40000000.0000000000,39628300.2850754783
0.0000148554,172,0.0860145266,1.9446354121,40000000.0000000000,39626980.6835571378
0.0000149054,172,0.0860146241,1.9511478911,40000000.0000000000,39625659.9139814973
0.0000149554,172,0.0860147220,1.9576601531,40000000.0000000000,39624337.9792843312
0.0000150054,172,0.0860148202,1.9641721978,40000000.0000000000,39623014.8831099048
0.0000150554,172,0.0860149187,1.9706840251,40000000.0000000000,39621690.6298046336
0.0000151054,172,0.0860150176,1.9771956347,40000000.0000000000,39620365.2244018540
0.0000151554,172,0.0860151168,1.9837070265,40000000.0000000000,39619038.6726148501
0.0000152054,172,0.0860152163,1.9902182003,40000000.0000000000,39617710.9808263108
0.0000152554,172,0.0860153161,1.9967291559,40000000.0000000000,39616382.1560757682
0.0000153054,172,0.0860154163,2.0032398931,40000000.0000000000,39615052.2060484663
0.0000153554,172,0.0860155168,2.0097504118,40000000.0000000000,39613721.1390676424
0.0000154054,172,0.0860156176,2.0162607117,40000000.0000000000,39612388.9640794247
0.0000154554,172,0.0860157187,2.0227707926,40000000.0000000000,39611055.6906412542
0.0000155054,172,0.0860158202,2.0292806545,40000000.0000000000,39609721.3289099187
0.0000155554,172,0.0860159220,2.0357902970,40000000.0000000000,39608385.8896329254
0.0000156054,172,0.0860160241,2.0422997201,40000000.0000000000,39607049.3841327429
0.0000156554,172,0.0860161265,2.0488089235,40000000.0000000000,39605711.8242943734
0.0000157054,172,0.0860162293,2.0553179071,40000000.0000000000,39604373.2225527242
0.0000157554,172,0.0860163324,2.0618266707,40000000.0000000000,39603033.5918832868
0.0000158054,172,0.0860164358,2.0683352142,40000000.0000000000,39601692.9457857758
0.0000158554,172,0.0860165396,2.0748435373,40000000.0000000000,39600351.2982710078
0.0000159054,172,0.0860166436,2.0813516399,40000000.0000000000,39599008.6638477445
0.0000159554,172,0.0860167480,2.0878595219,40000000.0000000000,39597665.0575110689
0.0000160054,172,0.0860168527,2.0943671831,40000000.0000000000,39596320.4947289973
0.0000160554,172,0.0860169578,2.1008746233,40000000.0000000000,39594974.9914270565
0.0000161054,172,0.0860170631,2.1073818423,40000000.0000000000,39593628.5639765188
0.0000161554,172,0.0860171688,2.1138888401,40000000.0000000000,39592281.2291770875
0.0000162054,172,0.0860172749,2.1203956165,40000000.0000000000,39590933.0042465553
0.0000162554,172,0.0860173812,2.1269021713,40000000.0000000000,39589583.9068086222
0.0000163054,172,0.0860174879,2.1334085043,40000000.0000000000,39588233.9548719302
0.0000163554,172,0.0860175949,2.1399146156,40000000.0000000000,39586883.1668213308
